ID,Word,POS,Ideal Meanings,Oxford Data,Oxford Coincidence (%),Oxford Status,CLD Data,CLD Coincidence (%),CLD Status,Sam Data,Sam Coincidence (%),Sam Status,Muller A4 Data,Muller A4 Coincidence (%),Muller A4 Status,Muller 300k Data,Muller 300k Coincidence (%),Muller 300k Status,Shkolnik Data,Shkolnik Coincidence (%),Shkolnik Status,Muller AST Data,Muller AST Coincidence (%),Muller AST Status
626,twist,"noun, verb","крутить | искривиться, изогнуться | поворачивать, изгибать | что-л. свёр-нутое, напр., скрученный бумажный пакет, «фунтик»","кручение, крутка; скручивание, сучение | что-л. свёр-нутое, напр., скрученный бумажный пакет, «фунтик» | верёвка; шнурок | изгиб, поворот | характерная особенность; отличительная черта (ума, характера и т. п.; часто неЗ одобр. ) | искажение, искривление",16.0,Низкое совпадение,"крутить | искривиться, изогнуться | поворачивать, изгибать | виться, изгибаться | растягивать (связки и т. д.) | искажать",81.0,Высокое совпадение,"кручение | скручивание | вере | вка | шнурок, жгут | изгиб, отклонение",6.0,Низкое совпадение,"кручение, крутка | скручивание, сучение | чтол | све | р нутое, напр | скрученныи",16.0,Низкое совпадение,"крутить, сучить | сплетать(ся | вить(ся | дорога оченьизви - вается | скручивать (руки | вы - жимать (белье",61.0,Хорошее совпадение,"крутить | скручивать(ся | искажать | искривление, изгиб | вере | вка",61.0,Хорошее совпадение,"крути ть | скру чивать (ся | искажа ть | искривле ние, изги б | вере | вка",61.0,Хорошее совпадение
627,audio,adjective,аудио- | звукозапись | аппаратура для воспроизведения звука,звуковой; аудио,64.3,Хорошее совпадение,аудио-,64.3,Хорошее совпадение,звукозапись | аппаратура для воспроизведения звука | слуховои | звуковои | сигнал | относящии,57.7,Хорошее совпадение,"звуковои | аудио | аудиокассета, пле | нка звукозаписи | радио звуковая частота",41.3,Частичное совпадение,звуковои,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,а удио,64.3,Хорошее совпадение
628,mortgage,"noun, verb","ипотека, закладная | закладывать | ручаться (словом ) | заклад",заклад; ипо-тека; закладная | закладывать | ручаться (словом ),100.0,Идеальное совпадение,"ипотека, закладная",61.0,Хорошее совпадение,заклад | ипотека | закладывать | ручаться (словом,93.0,Идеальное совпадение,заклад | ипо тека | закладная | закладывать | ручаться (словом,93.0,Идеальное совпадение,заклад | ипотека | закладная | за - кладывать | ручаться (словом,76.0,Высокое совпадение,заклад | закладная | зак ладывать,66.0,Хорошее совпадение,закла д | закладна я | закла дывать,66.0,Хорошее совпадение
629,symbolic,adjective,символический,символический,100.0,Идеальное совпадение,символический,100.0,Идеальное совпадение,символическии,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,символи - ческии | символическии,75.0,Высокое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
630,online,adjective,"в Интернете, в режиме онлайн",подклю-чённый | оперативный; (работаю-щий) в режиме реального времени,75.0,Высокое совпадение,"в Интернете, в режиме онлайн",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,информ | подклю че | нныи | оперативныи | работаю щии | в режиме реального времени,60.0,Хорошее совпадение,насвязи,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,"существу ющии | в Интерне те, подключе | нныи | к Интерне ту | кни жныи | интерне т-магази н",67.0,Хорошее совпадение
631,buffer,noun,"буфер, защита | тормоз отката | амортизатор","буфер; аморти-затор, демпфер, глушитель | буфер, буферное государство (тж. ~ State) | тормоз отката | помощник боцмана | attr. буфер-ный",77.7,Высокое совпадение,"буфер, защита",64.3,Хорошее совпадение,"буфер | амортизатор | хим буфер | резервныи | запас | дурачок, глупыи",77.7,Высокое совпадение,"буфер | аморти затор, демпфер, глушитель | буфер, буферное государство | тормоз отката | жарг | помощник боцмана",77.7,Высокое совпадение,буфер | перен | буфер ноего сударство,64.3,Хорошее совпадение,,0.0,Отсутствует в словаре,бу фер,64.3,Хорошее совпадение
632,minister,"noun, verb",министр | священник | дип. посланник; советник по-сольства,"министр | священник | дип. посланник; советник по-сольства | исполнитель, слуга | служить; помогать, оказывать помощь, содействие; способствовать | совершать богослужение",96.0,Идеальное совпадение,министр | священник,77.7,Высокое совпадение,"священник (неангликанскии | министр | дип посланник | советник посольства | служить, помогать | совершать богослужение",89.0,Высокое совпадение,министр | правительство | священник | дип | посланник | советник по сольства,96.0,Идеальное совпадение,ми нистр,6.0,Низкое совпадение,министр | посланник | священник,100.0,Идеальное совпадение,мини стр | посла нник | свяще нник,100.0,Идеальное совпадение
633,advice,noun,"совет | консультация (юриста, врача) | (обыкн. pl) сооб-щение","совет | консультация (юриста, врача) | (обыкн. pl) сооб-щение | авизо (тж. letter of ~)",100.0,Идеальное совпадение,совет,64.3,Хорошее совпадение,совет | консультация | советовать | послушаться чьего-л совета | следовать совету врача | обыкн,96.0,Идеальное совпадение,"совет | со ветовать | сле довать совету врача | консультация (юриста, врача | обыкн | сооб щение",96.0,Идеальное совпадение,совет | консуль тация (юриста,77.7,Высокое совпадение,совет (настав ление,64.3,Хорошее совпадение,сове т (наставление,64.3,Хорошее совпадение
634,simulation,adjective,"симуля-ция; притворство | тре-нажёр | симуляция болезни,  психическои","симуля-ция; притворство | моделирующее, имитирующее устройство | тре-нажёр",77.7,Высокое совпадение,,0.0,Отсутствует в словаре,"притворство | симуляция болезни,  психическои | подделка, имитация (о предмете | моделирование | имитация",77.7,Высокое совпадение,"симуля ция | притворство | моделирующее, имитирующее устрои | ство | тре наже",72.7,Хорошее совпадение,симу ляция | тренажер,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
635,compulsory,adjective,обязательный (для кого-либо) | для всех,принуди-тельный; обязательный,71.0,Хорошее совпадение,обязательный (для кого-либо),71.0,Хорошее совпадение,обязательныи | для всех | обязательное страхование | принудительныи | труд,96.0,Идеальное совпадение,принуди тельныи | обязательныи | обязательное обучение | принудительные меры | воинская повинность,48.0,Частичное совпадение,при - нуди тельныи | обяза тельныи,6.0,Низкое совпадение,при нудительныи | обязательныи,48.0,Частичное совпадение,принуди тельныи | обяза тельныи,6.0,Низкое совпадение
636,rape,"noun, verb",насиловать | похищение | изнасилование,"изнасилование | похищение | насиловать | похи-щать | рапс | капу-ста полевая, сурепица",84.0,Высокое совпадение,насиловать,64.3,Хорошее совпадение,изнасилование | поэт похищение | насиловать | поэт похищать | рапс | сурепица,84.0,Высокое совпадение,изнасилование | поэт | похищение | греч | миф | похищение Европы,57.7,Хорошее совпадение,поэт | похищать | наси ловать | похи - щение | изнасило вание | поле ваярепа,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
637,notice,"noun, verb","замечать | объявление | официальное предупреждение | извещение, уведомление; преду-преждение; б) предупреждать о предстоящем увольнении; б) предупреждение об увольнении; впредь до нового уведом-ления","внимание; to bring (или; б) дово-дить до сведения кого-л.; б) реагировать на окружающий мир (о ребёнке ) | извещение, уведомление; преду-преждение; б) предупреждать о предстоящем увольнении; б) предупреждение об увольнении; впредь до нового уведом-ления | обозрение, рецензия | заметка, объявление; афиша; краткий некролог | замечать, обращать внимание | отмечать, упоминать",51.0,Частичное совпадение,замечать | объявление | официальное предупреждение | внимание,81.0,Высокое совпадение,"внимание | обращать внимание | замечать | уведомление | предупреждение | обозрение, рецензия",51.0,Частичное совпадение,внимание | или | а) при влекать чье | внимание к | б) дово дить до сведения когол | стать известным комул,6.0,Низкое совпадение,впредьдоново гоуве домления | допол нительныи | наблю дение | внимание | до - водить досве дения | привле катьвни мание,6.0,Низкое совпадение,изве щ | ние | предупреждение | заметка | внимание | за мечать,16.0,Низкое совпадение,извещ | ние | предупрежде ние | заме тка | внима ние | замеча ть,41.0,Частичное совпадение
638,ride,"noun, verb","ездить (на лошади, велосипеде или мотоцикле) | поездка, езда | дорога, аллея (особ. для верховой езды ) | аттракцион для катания (колесо обозрения, карусель и т. п.)","прогулка, поездка, ез-да (верхом, на машине, на велосипеде и т. п.) | дорога, аллея (особ. для верховой езды ) | аттракцион для катания (колесо обозрения, карусель и т. п.) | ехать верхом; сидеть верхом (на чём-л.) | ехать (в бусе, в трамвае, на велосипеде, в поезде и т. п.) | ка-тать(ся); качать(ся)",96.0,Идеальное совпадение,"ездить (на лошади, велосипеде или мотоцикле) | ездить | поездка, езда | езда (на велосипеде, мотоцикле, лошади) | аттракцион",71.0,Хорошее совпадение,"прогулка (на велосипеде, автомобиле, верхом и т п | езда, поездка | до станции всего | минут езды | дорога, аллея для верховои | езды",81.0,Высокое совпадение,"прогулка, поездка, ез да (верхом, на машине, на велосипеде и т | прокатиться | дорога, аллея | для верховои | езды | аттракцион для катания (колесо обозрения, карусель и т",96.0,Идеальное совпадение,"хлористаямедь | за - кисьмеди | ехатьверхом, си - детьвер хомначем-либо",6.0,Низкое совпадение,ехать верхом | ехать | езда | прогулка (в машине,16.0,Низкое совпадение,е хать верхо м | е хать | езда | прогу лка (в машине,16.0,Низкое совпадение
639,diagnosis,noun,"диагноз | точное определение, оценка","диагноз | точное определение, оценка",100.0,Идеальное совпадение,диагноз,71.0,Хорошее совпадение,диагноз | оценка | диагностика | дистанционная дианостика,96.0,Идеальное совпадение,"диагноз | поставить диагноз | точное определение, оценка",100.0,Идеальное совпадение,"диа - гноз | точноеопре деление, оценка",26.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
640,read,"adjective, noun, verb","читать | разбирать, расшифровывать | толковать; объяснять | гласить",читать | толковать; объяснять | гласить | показывать ( о приборе и т. п.) | снимать показания ( прибора и т. п.) | изучать,81.0,Высокое совпадение,"читать | читать вслух | разбирать, расшифровывать | показывать (о приборе) | чтение",71.0,Хорошее совпадение,чтение | часто | начитанныи | сведущии | в какои | л области,6.0,Низкое совпадение,читать | читать вслух | усыплять когол | чтением | дочитаться до хрипоты (одурения | читать про себя,61.0,Хорошее совпадение,зачи татьсядо глубокои | ночи | читать | парл | зако нопро ектбылпред - ставленнаоб суждение | толко - вать,31.0,Низкое совпадение,"читать | читатель | чтец | чтение | вариант текста, разночтение",61.0,Хорошее совпадение,чита ть,61.0,Хорошее совпадение
641,educated,"adjective, noun",образованный | тре-нированный | человек,от edu-cate | (высоко)образованный | тре-нированный,54.7,Частичное совпадение,образованный,64.3,Хорошее совпадение,образованныи | человек | культурныи,77.7,Высокое совпадение,от | высоко)образованныи | тре нированныи | разви тои | вкус (ум,54.7,Частичное совпадение,высо - ко) обра зованныи | трени рован - ныи | развитои | вкус,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,образо ванныи,6.0,Низкое совпадение
642,substantial,adjective,"существенный, значительный | прочный, солидный | состоятель-ный | важныи","суще-ственный, важный, значительный | прочный, крепкий | состоятель-ный | реальный, вещественный | питательный",100.0,Идеальное совпадение,"существенный, значительный | прочный, солидный",71.0,Хорошее совпадение,существенныи | важныи | значительныи | значительная/крупная сумма денег | питательныи | прочныи,81.0,Высокое совпадение,суще ственныи | важныи | значительныи | большои | вклад | заметное улучшение,41.0,Частичное совпадение,реальныи | веще ственныи | су - щест венныи | важныи,16.0,Низкое совпадение,,0.0,Отсутствует в словаре,про чныи | кре пкии | соли дныи,41.0,Частичное совпадение
643,image,"noun, verb","репутация, имидж | изображение | представление, мысленный образ | статуя ( святого ); идол","образ; изобра-жение | статуя ( святого ); идол | икона | образ, характер; облик | имидж, «лицо » (организации и т . п.); престиж, репутация (фирмы ) | отражение (в зеркале )",71.0,Хорошее совпадение,"репутация, имидж | изображение | представление, мысленный образ",81.0,Высокое совпадение,"мысленныи | образ, представление, мнение | лицо, престиж, репутация | имидж | репутация | мнение широкои",61.0,Хорошее совпадение,"образ | изобра жение | статуя (святого | идол | икона | образ, характер",51.0,Частичное совпадение,образ | изобра - жение | отра жение (взеркале | статуя | идол | по - добие,51.0,Частичное совпадение,образ | изобра жение,41.0,Частичное совпадение,о браз | изображе ние,51.0,Частичное совпадение
644,television,noun,телевизор | телевидение | attr. телевизионный; ~ viewer = televiewer,телевидение | attr. телевизионный; ~ viewer = televiewer,57.7,Хорошее совпадение,телевизор | телевидение,77.7,Высокое совпадение,телевидение | телевизор | смотреть телевизор,72.7,Хорошее совпадение,телевидение | телевизионныи | телевизи онная передача | или | телевизор,84.0,Высокое совпадение,телеви - дение | телевизи онныи,6.0,Низкое совпадение,телевиде ние,44.3,Частичное совпадение,телеви дение,6.0,Низкое совпадение
645,sheet,"noun, verb","простыня | лист ( бумаги, стекла, металла ); листок | широ-кая полоса , пелена , обширная по-верхность ( воды, снега, пламени )","простыня | лист ( бумаги, стекла, металла ); листок | широ-кая полоса , пелена , обширная по-верхность ( воды, снега, пламени ) | пренебр. газетка, листок | печат-ный лист ( тж. printer's ~) | ведо-мость, таблица",96.0,Идеальное совпадение,простыня,64.3,Хорошее совпадение,"простыня | лист (бумаги, металла | пелена, широкая полоса, слои | воды, снега | покрывать (простыне | чехлом, брезентом, снегом",96.0,Идеальное совпадение,"простыня | в постели | блед ныи | как полотно | лист (бумаги, стекла, металла | листок",77.7,Высокое совпадение,простыня,64.3,Хорошее совпадение,"простыня | лист (бумаги, железа",77.7,Высокое совпадение,"простыня | лист (бумаги, железа",77.7,Высокое совпадение
646,rugby,noun,регби,регби (тж. ~ football),100.0,Идеальное совпадение,регби,100.0,Идеальное совпадение,регби,100.0,Идеальное совпадение,регби,100.0,Идеальное совпадение,регби,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
647,reader,noun,читатель | хрестома-тия | преподаватель (университеЗ та ); лектор | чтец,читатель; люби-тель книг | хрестома-тия | преподаватель (университеЗ та ); лектор | рецензент | коррек-тор | чтец,96.0,Идеальное совпадение,читатель,61.0,Хорошее совпадение,читатель | чтец | рецензент | хрестоматия | сборник текстов для чтения | букварь,71.0,Хорошее совпадение,читатель | люби тель книг | он не особенно любит чтение | хрестома тия | преподаватель (университе та | лектор,71.0,Хорошее совпадение,"читатель, люби - телькниг | онне особеннолю битчтение | чтец | рецензент | коррек - тор | лектор",81.0,Высокое совпадение,,0.0,Отсутствует в словаре,чита тель | чтец,71.0,Хорошее совпадение
648,which,pronoun,какой? который? | что,"какой?; кто; ( подразумевается выЗ бор ) | каковой, который, что | что",100.0,Идеальное совпадение,какой? который? | который | что,100.0,Идеальное совпадение,"какои | которыи | куда он уше | каковои | любои | тот, которыи",67.0,Хорошее совпадение,которыи | какои | кто | подразумевается вы бор | кого из вас мне благодарить | в какую сторону мы пои,67.0,Хорошее совпадение,которыи | какои | кто | вка куюсторону мыпои | дем | каковои,67.0,Хорошее совпадение,которыи | какои | кто из вас,71.0,Хорошее совпадение,кото рыи | како и | кто из вас,71.0,Хорошее совпадение
649,identify,verb,"опознавать, устанавливать личность | называть, указывать | отождествлять; соли-даризироваться (with)","узнавать, распознавать; опознавать, устанав-ливать личность | устанавливать тожде-ство (with) | отождествлять; соли-даризироваться (with)",77.7,Высокое совпадение,"опознавать, устанавливать личность | называть, указывать | устанавливать, определять",77.7,Высокое совпадение,"опознавать | устанавливать личность | идентифицировать | опознавать цель | солидаризироваться, сочувствовать (движению и т п | отождествлять, устанавливать тождество",77.7,Высокое совпадение,"узнавать, распознавать | опознавать, устанав ливать личность | назвать себя, предъявить удостоверение личности | устанавливать тожде ство | отождествлять | соли даризироваться",54.7,Частичное совпадение,"отождеств - лять | уста навливать,выявлять | опознавать | уста навли ватьлич ность",34.3,Низкое совпадение,отожде ствлять(ся | опознавать | удостоверение личности,41.3,Частичное совпадение,отождествля ть(ся | опознава ть,72.7,Хорошее совпадение
650,love,"noun, verb",любить | любовь | любовная интрига; любовная история | испытывать любовь к кому-л,"любовь, привязан-ность | влюблённость, любовь, страсть; cottage ~ ≅ рай в шалаше; б) ухаживать за | любовная интрига; любовная история | предмет любви; дорогой; дорогая; возлюблённый, возлюблен-ная (особ. в обращении my ~) | миф. амур, купидон | что-л. привлека-тельное",51.0,Частичное совпадение,"любить | любовь | возлюбленный, любовь | любовь, сильный интерес | дорогой, дорогая (при обращении) | ноль (в спорте)",71.0,Хорошее совпадение,"любовь, привязанность | испытывать любовь к кому-л | влюбле | нность, страсть | чувственная любовь | он любил без взаимности",51.0,Частичное совпадение,"любовь, привязан ность | они недолюбливают друг друга | влюбле | нность, любовь, страсть | раи | в шалаше",41.0,Частичное совпадение,"любовь | онинедо - любливают другдруга | влюблен - ность, страсть | раи | вша | лаше",41.0,Частичное совпадение,п любовь | влюбле | нныи | ухаживать | любить | у  прелестныи,61.0,Хорошее совпадение,любо вь | влюб ле | нныи | уха живать | люби ть | преле стныи,61.0,Хорошее совпадение
651,green,"adjective, noun, verb","зеленый | относящийся к окружающей среде | покрытый зеленью | незрелый, неспелый","зелёный | покрытый зеленью | незрелый, неспелый | свежий, не подвергшийся обработке; сырой | молодой; неопытный; доверчи-вый; неопытный че-ловек | бледный, болезненный",26.0,Низкое совпадение,зеленый | относящийся к окружающей среде | покрытый зеленью | неопытный | зеленый цвет | зеленая площадка вокруг лунки,81.0,Высокое совпадение,"зеле | ныи | цвет | ная краска, зелень | ная лужаи | ка",6.0,Низкое совпадение,зеле | ныи | позеленеть | покрытыи | зеленью | незрелыи,26.0,Низкое совпадение,зеле ноесукно | зеленыи | перен | позе леневшии | отче голибо | покрытыи,48.0,Частичное совпадение,зеле | ныи,6.0,Низкое совпадение,зеле | ныи,6.0,Низкое совпадение
652,choir,noun,хор | хоровой ансамбль | место хора (в соборе) | клирос,церковный хор | хоровой ансамбль | место хора (в соборе),81.0,Высокое совпадение,хор,61.0,Хорошее совпадение,хор певчих | клирос | капелла | хор | муз инструменты однои | группы (в оркестре,71.0,Хорошее совпадение,церковныи | хор | хоровои | ансамбль | место хора (в соборе,58.0,Хорошее совпадение,хор,61.0,Хорошее совпадение,хор,61.0,Хорошее совпадение,хор,61.0,Хорошее совпадение
653,infamous,adjective,"пользующийся дурной славой | позорный; по-стыдный, бесчестный; б) наруше-ние профессиональной этики (особ. врачом ) | скверный, пакостный","имеющий дурную репутацию; пользующийся дурной славой | позорный; по-стыдный, бесчестный; б) наруше-ние профессиональной этики (особ. врачом ) | скверный, пакостный | лишён-ный гражданских прав вследствие совершённого преступления",100.0,Идеальное совпадение,пользующийся дурной славой,64.3,Хорошее совпадение,пользующии | ся дурнои | славои | позорныи | постыдныи | низкии,77.7,Высокое совпадение,имеющии | дурную репутацию | пользующии | ся дурнои | славои | позорныи,47.7,Частичное совпадение,позорныи | постыдныи,44.3,Частичное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
654,reportedly,adverb,"по сообщениям, как сообщают","по сообщениям, как сообщают",100.0,Идеальное совпадение,"по сообщениям, как сообщают",100.0,Идеальное совпадение,по сообщениям | как сообщают,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
655,grand,"adjective, noun","грандиозный, большой | величественный, важный | отличный | вели-колепный, пышный; роскошный; импозантный; парадный","грандиозный, большой, величественный | вели-колепный, пышный; роскошный; импозантный; парадный | возвы-шенный; благородный | основной; главный, очень важный | великий ( тж. в титулах ) | восхитительный, приятный",81.0,Высокое совпадение,"грандиозный, большой | величественный, важный | отличный | тысяча долларов или фунтов",81.0,Высокое совпадение,без измен) сленг тысяча долларов или фунтов | рояль | грандиозныи | величественныи | большои | главныи,41.0,Частичное совпадение,грандиозныи | большои | величественныи | вели колепныи | пышныи | роскошныи,81.0,Высокое совпадение,грандиоз - ныи | большои | величест венныи | возвы - шенныи | благо родныи | глав - ныи,38.0,Частичное совпадение,величествен ныи | замечательныи,41.0,Частичное совпадение,вели чественныи | замеча тельныи,41.0,Частичное совпадение
656,unfortunate,"adjective, noun","достойный сожаления, прискорбный | невезучий | несчастный; несчастливый | горемыка; неудачник",неудач-ный | несчастный; несчастливый | горемыка; неудачник | эвф. проститутка,81.0,Высокое совпадение,"достойный сожаления, прискорбный | невезучий",71.0,Хорошее совпадение,неудачник | неудачныи | несчастныи | несчастливыи,51.0,Частичное совпадение,неудач ныи | несчастныи | несчастливыи | горемыка | неудачник | эвф,26.0,Низкое совпадение,несча стныи | несчастливыи | неудачныи | горемыка | не - удачник | прости тутка,26.0,Низкое совпадение,не счастныи | несчастливыи | неудачныи | у  к несча стью,16.0,Низкое совпадение,несча стныи | несчастли выи | неуда чныи | к не сча стью,16.0,Низкое совпадение
657,memorial,"adjective, noun","мемориал, памятник | pl летопись; хро-ника | подробное изложение фак-тов в петиции",памят-ник; мемориал | pl летопись; хро-ника | подробное изложение фак-тов в петиции | записка; заметка | церк. поминовение | мемо-риал,96.0,Идеальное совпадение,"мемориал, памятник",64.3,Хорошее совпадение,"памятник | мемориал | меморандум | памятная записка | хроника, летопись | летопись прошлых лет",77.7,Высокое совпадение,памят ник | мемориал | летопись | хро ника | подробное изложение фак тов в петиции | записка,96.0,Идеальное совпадение,напо - минающии | мемо риальныи | устра - иваемыи | впамять | памят - ник | записка,19.3,Низкое совпадение,па мятник | историческая хроника,6.0,Низкое совпадение,па мятник | истори ческая хро ника,6.0,Низкое совпадение
658,appearance,noun,"появление | внешность | (внешний) вид, наружность | видимость; по-видимому","появле-ние; to make an (или one's) ~ показывать-ся, появляться | (внешний) вид, наружность | видимость; по-видимому | вы-ступление | выход из печати | явление (обыкн. загадочЗ ное ); феномен",26.0,Низкое совпадение,появление | внешность,71.0,Хорошее совпадение,появление | выступление | его выступление в роли Гамлета | выход из печати | внешнии | вид,71.0,Хорошее совпадение,"появле ние | появиться нена долго (на собрании, вечере и т | или | показывать ся, появляться | внешнии | вид, наружность",71.0,Хорошее совпадение,"появле - ние | пока зываться, появ ляться | внешнии | вид | на - руж ность | види мость",16.0,Низкое совпадение,"по явление | наружность, вид",51.0,Частичное совпадение,"появле ние | нару жность, вид",71.0,Хорошее совпадение
659,mail,"noun, verb","почта, корреспонденция | щи-ток (черепахи ); скорлупа (рака ) | покрывать кольчугой, бронёй","кольчуга (тж . coat of ~); распр. броня | щи-ток (черепахи ); скорлупа (рака ) | покрывать кольчугой, бронёй | почта | почта, почтовая корреспонденция | поч ц товый поезд",64.0,Хорошее совпадение,"почта, корреспонденция | почта | посылать по почте",64.3,Хорошее совпадение,"почта, почтовая корреспонденция | дипломатическая почта | почта (система доставки корреспонденции | авиапочта | электронная почта | мешок с почтои",64.3,Хорошее совпадение,кольчуга | распр | броня | зоол | щи ток (черепахи | скорлупа (рака,19.3,Низкое совпадение,"кольчуга | мешокспочтои | почта, почто ваякоррес понден - ция | иност ранная | воз - душная почта | почтовыи",34.3,Низкое совпадение,п почта | по сылать почтои,64.3,Хорошее совпадение,по чта | посыла ть по чтои,64.3,Хорошее совпадение
660,embody,verb,"воплощать | заклю-чать в себе | претворять в жизнь, реализовать","осуществлять, реализовать (идею ) | воплощать; изображать, олицетворять | заклю-чать в себе | объединять; включать",93.0,Идеальное совпадение,воплощать,64.3,Хорошее совпадение,"претворять в жизнь, реализовать | воплощать | олицетворять | быть символом | включать, делать составнои | частью",72.7,Хорошее совпадение,"осуществлять, реализовать (идею | воплощать | изображать, олицетворять | заклю чать в себе | объединять | включать",72.7,Хорошее совпадение,"вопло - щать | изоб ражать, олице творять | объе динять | включать | за - ключатьвсебе",6.0,Низкое совпадение,воплощать,64.3,Хорошее совпадение,воплоща ть,64.3,Хорошее совпадение
661,sick,"adjective, verb",больной | жестокий | рвота | болезненный; нездоровый,predic. чувствующий тошноту | преим. больной | болезненный; нездоровый | отно-сящийся к больному; связанный с болезнью | тоскующий (for — по чемуЗл. ) | пресыщенный; уставший (of — от чегоЗл.),48.0,Частичное совпадение,больной | жестокий | рвота,81.0,Высокое совпадение,рвота | приступ тошноты | больные | чувствующии | тошноту | меня тошнит/мутит,41.0,Частичное совпадение,чувствующии | тошноту | или | ис пытывать тошноту | его тош нит (рве | больнои,31.0,Низкое совпадение,больнои | хворыи | чувствующии | тошноту | пре - сыщенныи | уставшии,61.0,Хорошее совпадение,больнои | пре сытиться | мне на доело,61.0,Хорошее совпадение,больно и | пресы титься | мне надое ло,61.0,Хорошее совпадение
662,favour,"noun, verb","одолжение, услуга | благосклонность, расположение | оказывать предпочтение | пристрастие (к кому-л.); покровительство; he gained his position more by ~ than by merit (скорее) не личные заслуги, а по-кровительство помоглоемудостичь такого положения","одолжение; лю-безность | благосклонность, расположение; одобрение; угодить кому-л. | пристрастие (к кому-л.); покровительство; he gained his position more by ~ than by merit (скорее) не личные заслуги, а по-кровительство помоглоемудостичь такого положения | польза, инте-рес; помощь; б) в пользу (кого-л., чего-л.) | зна-чок; бант, розетка; сувенир | письмо",81.0,Высокое совпадение,"одолжение, услуга | благосклонность, расположение | оказывать предпочтение",81.0,Высокое совпадение,"благосклонность | отнестись благосклонно к | он не в чести у начальства | одолжение, любезность | окажи мне любезность | протекция, покровительство",71.0,Хорошее совпадение,"одолжение | лю безность | сделать одолжение, оказать любезность | будьте добры, прочтите это внимательно | благосклонность, расположение | одобрение",71.0,Хорошее совпадение,"заис кивать | благо склон - ность, расположение | одоб рение | снис катьего расположе ниемож нотольколестью",16.0,Низкое совпадение,благосклон ность | одолжение | в пользу | благоприятныи | благо склонныи,38.0,Частичное совпадение,"благоскло нность | одолже ние | в чью-л по льзу | в защи ту, за",38.0,Частичное совпадение
